Photo,NoiseLevel,FilterSize,MSE,PSNR,SSIM
photo1,0.01,3,6.80334,39.8036,0.997203
photo1,0.01,5,17.4221,35.7198,0.992821
photo1,0.01,7,23.5617,34.4087,0.990281
photo1,0.05,3,10.9017,37.7559,0.995524
photo1,0.05,5,24.2466,34.2843,0.990031
photo1,0.05,7,34.2555,32.7835,0.985921
photo1,0.1,3,16.8649,35.861,0.99309
photo1,0.1,5,31.7467,33.1138,0.986986
photo1,0.1,7,45.4934,31.5513,0.981374
photo2,0.01,3,84.519,28.8613,0.987055
photo2,0.01,5,269.359,23.8275,0.95755
photo2,0.01,7,443.922,21.6577,0.928559
photo2,0.05,3,96.6518,28.2787,0.98521
photo2,0.05,5,279.277,23.6705,0.956023
photo2,0.05,7,453.79,21.5623,0.927054
photo2,0.1,3,116.754,27.4581,0.98216
photo2,0.1,5,292.517,23.4693,0.953995
photo2,0.1,7,466.172,21.4453,0.925157
photo3,0.01,3,14.6527,36.4716,0.99443
photo3,0.01,5,44.8495,31.6132,0.9827
photo3,0.01,7,73.2491,29.4828,0.971438
photo3,0.05,3,19.0435,35.3333,0.992769
photo3,0.05,5,51.6101,31.0035,0.980137
photo3,0.05,7,83.3938,28.9195,0.967584
photo3,0.1,3,27.6024,33.7213,0.989541
photo3,0.1,5,60.394,30.3209,0.976817
photo3,0.1,7,95.2509,28.3421,0.963117
photo4,0.01,3,5.00691,41.1351,0.998445
photo4,0.01,5,11.6609,37.4635,0.996372
photo4,0.01,7,18.0805,35.5587,0.994371
photo4,0.05,3,9.49864,38.3542,0.997052
photo4,0.05,5,21.6484,34.7765,0.993279
photo4,0.05,7,29.7483,33.3962,0.990763
photo4,0.1,3,15.199,36.3127,0.99529
photo4,0.1,5,30.1079,33.344,0.990672
photo4,0.1,7,45.7541,31.5265,0.98585
photo5,0.01,3,36.6801,32.4865,0.991052
photo5,0.01,5,64.2643,30.0511,0.984299
photo5,0.01,7,80.1609,29.0912,0.980374
photo5,0.05,3,41.9409,31.9044,0.98978
photo5,0.05,5,72.4492,29.5305,0.982327
photo5,0.05,7,91.4048,28.5211,0.977669
photo5,0.1,3,49.6852,31.1685,0.987904
photo5,0.1,5,80.1111,29.0939,0.980489
photo5,0.1,7,104.416,27.9431,0.974543
photo6,0.01,3,163.956,25.9835,0.966522
photo6,0.01,5,286.234,23.5636,0.940868
photo6,0.01,7,339.247,22.8256,0.929446
photo6,0.05,3,174.831,25.7046,0.964338
photo6,0.05,5,296.003,23.4178,0.938934
photo6,0.05,7,350.346,22.6858,0.927252
photo6,0.1,3,192.352,25.2898,0.960872
photo6,0.1,5,308.123,23.2436,0.936546
photo6,0.1,7,366.47,22.4904,0.924113
